dms_orig,latitude_dms_orig,longitude_dms_orig
Birmingham AL,33.570499,-86.765783
Mobile AL,39.092585,-84.853229
Phoenix AZ,33.4484367,-112.074141
Tucson AZ,32.2228765,-110.974847
Little Rock AR,34.746042,-92.262397
Los Angeles CA,34.0536909,-118.242766
Sacramento CA,38.5810606,-121.493895
San Diego CA,32.7166921,-117.169295
San Francisco CA,37.7790262,-122.419906
Fresno CA,36.738324,-119.782872
Denver CO,39.775168,-105.024387
Hartford CT,41.764582,-72.6908547
New York CT,42.857448,-73.874412
Jacksonville FL,30.3321838,-81.655651
Miami FL,25.7741728,-80.19362
Orlando FL,28.5479786,-81.41278418563017
Tampa FL,27.9529744,-82.4508736
Atlanta GA,33.7489924,-84.3902644
Savannah GA,32.0790074,-81.0921335
Honolulu HI,21.304547,-157.855676
Boise ID,43.569371,-116.195571
Chicago IL,41.8755616,-87.6244212
St. Louis IL,38.616405,-90.159821
Chicago IN,41.91047585,-87.62677464864446
Indianapolis IN,39.7683331,-86.1583502
Fort Wayne IN,41.0799898,-85.1386015
Iowa,41.9216734,-93.3122705
Kansas City KS,39.1134562,-94.626497
Wichita KS,37.6922361,-97.3375448
Cincinnati KY,39.049906449999995,-84.66515749429266
Louisville KY,38.2542376,-85.759407
Baton Rouge LA,28.2968872,-82.502277
Lake Charles LA,29.6173648,-81.2665573
New Orleans LA,29.9759983,-90.0782127
Augusta ME,44.307631,-69.780688
Baltimore MD,39.2908816,-76.610759
Boston MA,42.3554334,-71.060511
Detroit MI,42.3315509,-83.0466403
Grand Rapids MI,42.9632425,-85.6678639
Minneapolis-St. Paul MN,44.878019050000006,-93.2209280537696
Jackson MS,32.284748,-90.196984
St. Louis MO,38.6280278,-90.1910154
Helena MT,46.598139,-112.002966
Omaha NE,41.2587459,-95.9383758
Las Vegas NV,36.1672559,-115.148516
Boston NH,43.0156878,-71.6078911
New York NJ,39.574225,-74.4611135
Philadelphia NJ,39.8065836,-75.23813044278864
New Mexico,34.5802074,-105.996047
Albany NY,42.6511674,-73.754968
Buffalo NY,42.8867166,-78.8783922
New York NY,40.7127281,-74.0060152
Rochester NY,43.157285,-77.615214
Charlotte NC,35.2272086,-80.8430827
Greensboro NC,36.0726355,-79.7919754
Raleigh-Durham NC,35.9017752,-79.0055354
Bismarck ND,46.83144,-100.76818
Cincinnati OH,39.1014537,-84.5124602
Cleveland OH,41.4996574,-81.6936772
Columbus OH,39.9622601,-83.0007065
Dayton OH,39.7589478,-84.1916069
Oklahoma City OK,35.4729886,-97.5170536
Tulsa OK,36.1563122,-95.9927516
Portland OR,45.5202471,-122.674194
Philadelphia PA,39.9527237,-75.1635262
Pittsburgh PA,40.4416941,-79.9900861
New York PA,41.3793173,-74.6991979
Boston RI,42.3638802,-71.0333738
Charleston SC,32.7884363,-79.9399309
Greenville SC,34.851354,-82.3984882
Sioux Falls SD,43.544171,-96.731155
Memphis TN,35.1460249,-90.0517638
Nashville TN,36.1622767,-86.7742984
Knoxville TN,35.9603948,-83.9210261
Austin TX,30.2711286,-97.7436995
Beaumont TX,30.0860459,-94.1018461
Corpus Christi TX,27.7635302,-97.4033191
Dallas TX,32.7762719,-96.7968559
El Paso TX,31.7550511,-106.488234
Houston TX,29.7589382,-95.3676974
Laredo TX,27.5030915,-99.5075644
San Antonio TX,29.4246002,-98.4951405
Salt Lake City UT,40.7596198,-111.886797
Vermont VT,44.5990718,-72.5002608
Richmond VA,37.5578678,-77.46125149396735
Norfolk VA,36.8448348,-76.2863999
Washington,38.8950368,-77.0365427
Seattle WA,47.6038321,-122.330062
Portland WA,43.1284356,-93.1244839
Charleston WV,38.357611,-81.639517
Milwaukee WI,43.0349931,-87.922497
Wyoming,43.1700264,-107.568534
Philadelphia DE,40.0114538,-75.1326504
Washington MD,39.5893502,-77.710254
Kansas City MO,39.100105,-94.5781416
Washington DC,38.8950368,-77.0365427
